HandID,Board,Winner,WinType,Pot,h_Hole,cfr_Hole,h_Bucket,cfr_Bucket,h_Action,cfr_Action,h_Delta,cfr_Delta
1067,8♣A♦7♥4♥J♣,h_bot,showdown,800,6♠5♥,Q♠2♣,65o,Q2o,raise,raise,920,-930
1068,K♥4♥5♣K♠J♥,cfr_bot,showdown,470,Q♣7♥,A♥7♦,Q7o,A7o,raise,fold,460,-470
1069,J♠8♦5♥K♠Q♥,h_bot,showdown,470,K♣3♣,6♣2♠,K3s,62o,fold,call,920,-930
1070,J♠A♠4♣K♠3♠,h_bot,showdown,470,6♣J♣,9♦8♦,J6s,98s,fold,fold,930,-940
1071,K♥9♥5♠8♦3♥,cfr_bot,showdown,70,7♥2♦,4♠K♣,72o,K4o,fold,call,920,-930
1072,5♥8♥7♣A♥2♦,cfr_bot,showdown,510,6♣3♥,9♣J♠,63o,J9o,raise,fold,420,-430
1073,6♥J♦3♦7♣K♠,cfr_bot,showdown,510,T♦Q♥,2♠7♥,QTo,72o,fold,call,410,-420
1074,Q♠4♠A♣6♣7♦,cfr_bot,showdown,1080,Q♥3♥,2♣A♠,Q3s,A2o,raise,call,-130,120
1075,2♦T♦6♥J♦9♥,cfr_bot,showdown,1160,8♠K♣,K♦5♦,K8o,K5s,raise,call,-710,700
1076,T♥T♣5♣K♠4♠,cfr_bot,showdown,300,3♥J♦,6♥T♦,J3o,T6o,fold,fold,-1000,990
1077,A♣9♥8♠Q♣5♥,h_bot,showdown,580,A♥T♠,K♣6♠,ATo,K6o,fold,call,-420,410
1078,K♣J♣7♦3♦2♣,cfr_bot,showdown,1160,T♣A♦,9♣3♥,ATo,93o,fold,call,-1000,990
1079,J♠A♠Q♦K♣6♣,h_bot,showdown,580,3♠Q♥,5♦6♠,Q3o,65o,fold,call,-420,410
1080,K♣9♠8♠5♣K♠,h_bot,showdown,1160,5♦J♦,6♦J♥,J5s,J6o,call,call,160,-170
1081,6♠K♦3♦6♣2♣,h_bot,showdown,590,4♦5♠,J♥K♥,54o,KJs,fold,call,740,-750
1082,2♠5♦3♥K♠3♣,h_bot,showdown,830,3♦2♦,Q♣5♥,32s,Q5o,fold,call,990,-1000
1083,3♥8♦A♦6♦7♥,cfr_bot,showdown,620,J♣T♥,6♥2♦,JTo,62o,raise,fold,370,-380
1084,3♦8♥J♦9♠7♠,h_bot,showdown,670,T♥2♦,5♦7♣,T2o,75o,raise,fold,380,-390
1085,Q♠7♥8♠A♦3♣,cfr_bot,showdown,620,2♦8♦,J♠Q♣,82s,QJo,fold,fold,370,-380
1086,8♦Q♥3♣4♠J♣,cfr_bot,showdown,670,K♠9♣,8♥Q♣,K9o,Q8o,fold,fold,-290,280
1087,J♥K♥A♥8♥9♣,h_bot,showdown,1360,2♠K♦,7♣Q♦,K2o,Q7o,raise,fold,370,-380
1088,8♥7♥9♦A♣8♣,h_bot,showdown,1320,Q♠2♣,6♠3♥,Q2o,63o,call,call,990,-1000
1089,7♦9♠3♥J♥3♦,cfr_bot,showdown,740,5♥6♣,A♦9♦,65o,A9s,raise,call,250,-260
1090,3♥J♦8♥J♣K♥,h_bot,showdown,790,4♦J♠,A♣9♦,J4o,A9o,raise,fold,260,-270
1091,J♥Q♠9♣K♥J♠,h_bot,showdown,1550,4♥Q♦,4♠A♣,Q4o,A4o,raise,fold,990,-1000
1092,7♠8♦T♥J♦4♥,h_bot,showdown,820,7♥8♥,4♣3♦,87s,43o,fold,call,990,-1000
1093,8♥K♣9♣T♠J♣,h_bot,showdown,820,A♣J♥,9♥4♣,AJo,94o,call,call,990,-1000
1094,7♠2♦5♥8♠8♣,h_bot,showdown,860,9♠7♦,A♥5♠,97o,A5o,raise,call,990,-1000
1095,3♦3♥J♦7♦9♥,h_bot,showdown,10,J♠5♣,Q♦A♥,J5o,AQo,fold,fold,990,-1000
1096,8♣9♠A♦J♦T♠,cfr_bot,showdown,860,8♥5♠,6♦T♣,85o,T6o,fold,raise,130,-140
1097,T♥T♣3♦6♣4♥,h_bot,showdown,10,A♣Q♥,J♦5♦,AQo,J5s,fold,call,130,-140
1098,9♠T♦3♣A♠K♥,h_bot,showdown,80,K♣2♥,4♦9♣,K2o,94o,raise,call,170,-180
1099,2♥4♠Q♣J♠3♦,cfr_bot,showdown,120,9♣8♠,2♣T♣,98o,T2s,raise,fold,90,-100
1100,9♣8♣Q♣4♦T♠,cfr_bot,showdown,130,A♥4♥,Q♦8♥,A4s,Q8o,raise,fold,-30,20
1101,7♦A♣5♥4♠J♠,cfr_bot,showdown,280,K♥6♣,2♥J♥,K6o,J2s,raise,fold,-190,180
1102,9♦A♠5♠2♠T♠,cfr_bot,showdown,170,4♦7♥,2♥6♠,74o,62o,fold,fold,-350,340
1103,2♥Q♠K♣5♦K♥,cfr_bot,showdown,440,7♣6♣,2♦9♥,76s,92o,raise,raise,-550,540
1104,7♥6♣8♣K♥5♣,cfr_bot,showdown,560,7♠A♦,3♥K♦,A7o,K3o,raise,call,-830,820
1105,4♥J♦2♣J♠2♥,cfr_bot,showdown,290,3♥8♥,Q♣9♣,83s,Q9s,fold,call,-840,830
1106,5♣K♠7♥5♠T♣,h_bot,showdown,480,5♥T♥,Q♥8♣,T5s,Q8o,fold,raise,-520,510
1107,4♠K♥J♦3♣7♥,h_bot,showdown,760,J♣4♥,6♠Q♦,J4o,Q6o,raise,raise,-120,110
1108,4♥6♣T♦8♠K♠,h_bot,showdown,410,8♥2♣,A♦4♣,82o,A4o,fold,fold,-110,100
1109,6♥5♣K♣K♥T♠,h_bot,showdown,880,2♥T♣,9♥7♠,T2o,97o,raise,call,330,-340
1110,5♥9♥2♥3♥4♦,cfr_bot,showdown,490,T♠2♦,5♣2♣,T2o,52s,raise,fold,-150,140
1111,5♥6♥3♦4♠6♦,h_bot,showdown,490,7♠2♠,J♥K♥,72s,KJs,fold,call,330,-340
1112,T♥J♥3♣4♠Q♠,h_bot,showdown,1040,8♦K♣,2♠9♦,K8o,92o,raise,call,850,-860
1113,J♥5♣J♠6♠Q♣,h_bot,showdown,150,A♥K♦,4♣9♣,AKo,94s,fold,fold,990,-1000
1114,3♠A♠5♦8♥T♠,cfr_bot,showdown,520,2♣2♠,A♦8♣,22,A8o,fold,raise,470,-480
1115,5♥3♠A♦7♦7♥,h_bot,showdown,10,2♣4♠,Q♠8♦,42o,Q8o,fold,call,470,-480
1116,7♠2♦9♦8♣9♣,h_bot,showdown,80,6♣Q♠,3♠J♣,Q6o,J3o,raise,call,510,-520
1117,6♥9♣6♣5♥A♦,h_bot,showdown,50,7♦A♣,K♥8♥,A7o,K8s,fold,call,550,-560
1118,2♣3♣5♥7♥8♥,cfr_bot,showdown,90,T♥4♦,9♦J♣,T4o,J9o,raise,fold,470,-480
1119,T♥9♦4♦T♣T♠,cfr_bot,showdown,240,6♣5♣,A♦J♥,65s,AJo,raise,call,350,-360
1120,K♠T♦4♥5♥T♠,cfr_bot,showdown,240,2♥8♣,2♠A♣,82o,A2o,fold,call,230,-240
1121,Q♥2♠J♦9♦Q♦,cfr_bot,showdown,130,4♣6♠,A♦J♠,64o,AJo,fold,call,220,-230
1122,J♦6♠9♦9♥T♠,cfr_bot,showdown,130,Q♦T♣,J♣6♣,QTo,J6s,fold,fold,100,-110
1123,7♣2♠4♣K♣9♣,cfr_bot,showdown,320,3♠Q♠,6♣J♠,Q3s,J6o,raise,call,-60,50
1124,A♥7♠9♠T♠T♦,cfr_bot,showdown,170,3♥4♥,A♣Q♥,43s,AQo,fold,fold,-220,210
1125,7♣9♦5♥4♠4♦,cfr_bot,showdown,170,T♥6♣,8♦J♥,T6o,J8o,fold,call,-230,220
1126,3♠K♣T♦A♠5♦,cfr_bot,showdown,320,A♦T♥,4♣2♠,ATo,42o,fold,call,-390,380
1127,Q♦8♠J♦T♣6♠,cfr_bot,showdown,170,4♥3♣,A♣6♥,43o,A6o,fold,call,-400,390
1128,J♦6♠2♥T♠6♦,cfr_bot,showdown,400,4♥J♠,6♣9♣,J4o,96s,raise,call,-600,590
1129,K♠9♣3♠5♥3♣,cfr_bot,showdown,480,9♠8♠,5♦3♥,98s,53o,raise,call,-840,830
1130,6♦6♠T♥A♣4♦,h_bot,showdown,170,Q♣K♣,5♦3♥,KQs,53o,fold,fold,-830,820
1131,7♣6♣K♦7♥9♠,h_bot,showdown,410,Q♠2♠,8♥2♥,Q2s,82s,raise,call,-590,580
1132,3♣6♣3♠9♠T♣,h_bot,showdown,340,T♥5♥,2♥Q♣,T5s,Q2o,fold,call,-420,410
1133,T♣A♦8♥3♥J♣,cfr_bot,showdown,180,9♦5♦,3♦4♠,95s,43o,fold,fold,-430,420
1134,J♣T♣9♣4♥J♠,cfr_bot,showdown,460,3♣2♥,Q♥9♦,32o,Q9o,raise,raise,-640,630
1135,2♣Q♣3♥9♠5♠,h_bot,showdown,540,T♠J♥,6♠7♥,JTo,76o,raise,fold,-390,380
1136,7♣2♠8♠2♥4♠,cfr_bot,showdown,700,4♥J♠,8♣6♥,J4o,86o,raise,raise,-720,710
1137,T♥6♥8♥Q♣K♦,h_bot,showdown,380,K♣4♣,9♦2♦,K4s,92s,fold,call,-350,340
1138,Q♥J♠T♠5♥2♠,h_bot,showdown,740,T♦9♣,2♦A♦,T9o,A2s,fold,call,20,-30
1139,Q♣6♥6♣T♥2♦,cfr_bot,showdown,420,J♠K♠,5♣A♣,KJs,A5s,fold,raise,10,-20
1140,7♦2♣9♦K♣4♥,h_bot,showdown,860,T♥7♥,6♣Q♥,T7s,Q6o,call,raise,460,-470
1141,2♥9♣T♠K♠A♥,cfr_bot,showdown,460,4♣3♣,8♥Q♥,43s,Q8s,fold,call,450,-460
1142,2♠2♥K♦9♣A♣,h_bot,showdown,460,4♥2♣,5♦J♣,42o,J5o,fold,fold,460,-470
1143,Q♥K♠T♦Q♠9♦,h_bot,showdown,460,6♠J♦,4♠8♦,J6o,84o,fold,call,910,-920
1144,T♠9♠7♣3♦K♦,cfr_bot,showdown,530,7♠5♥,8♦J♠,75o,J8o,fold,raise,460,-470
1145,9♠8♥6♦K♠T♥,h_bot,showdown,90,T♦3♥,J♠3♦,T3o,J3o,fold,call,540,-550
1146,9♠J♦T♦3♠2♦,cfr_bot,showdown,160,5♠4♠,4♦2♣,54s,42o,fold,call,460,-470
1147,6♣K♦K♥3♦6♠,h_bot|cfr_bot,split,240,9♠A♣,A♥5♣,A9o,A5o,raise,call,460,-470
1148,K♦4♠J♣K♠2♣,h_bot,showdown,240,A♣2♦,8♠A♠,A2o,A8s,fold,call,580,-590
1149,9♦6♣3♠3♦6♠,cfr_bot,showdown,280,5♣2♦,7♥7♣,52o,77,raise,fold,420,-430
1150,6♣4♠3♦Q♦A♣,h_bot,showdown,400,7♣K♠,2♣9♥,K7o,92o,raise,call,620,-630
1151,J♥8♣T♥K♠J♣,h_bot,showdown,250,5♠J♦,T♠8♥,J5o,T8o,fold,raise,860,-870
1152,2♦7♥7♠A♠9♠,cfr_bot,showdown,290,T♣4♥,J♣5♦,T4o,J5o,raise,fold,580,-590
1153,8♥8♦4♣A♥6♣,cfr_bot,showdown,290,Q♥T♠,3♦6♥,QTo,63o,fold,call,570,-580
1154,8♣3♠3♣8♠Q♠,cfr_bot,showdown,330,J♣J♠,8♦Q♣,JJ,Q8o,raise,fold,250,-260
1155,6♦7♣A♣9♥Q♥,cfr_bot,showdown,720,2♥T♠,7♠2♦,T2o,72o,raise,call,-110,100
1156,7♠T♦A♥2♠K♠,cfr_bot,showdown,720,3♣9♠,Q♣5♥,93o,Q5o,fold,call,-470,460
1157,8♣8♠9♣2♥4♦,h_bot,showdown,410,8♦T♠,J♦J♠,T8o,JJ,fold,raise,-70,60
1158,5♦9♠K♦6♦9♣,h_bot,showdown,410,2♠8♦,2♥3♠,82o,32o,fold,fold,-60,50
1159,A♦A♠T♠9♦3♣,h_bot,showdown,880,J♠Q♥,4♣6♦,QJo,64o,raise,call,380,-390
1160,6♥8♦7♣Q♦A♣,cfr_bot,showdown,1000,5♠2♦,4♦6♦,52o,64s,raise,raise,-100,90
1161,4♦2♦T♦7♠A♣,h_bot,showdown,530,T♣5♥,2♣5♠,T5o,52o,fold,call,420,-430
1162,8♠A♣2♣K♣T♦,h_bot,showdown,570,6♣5♣,2♥J♦,65s,J2o,raise,fold,430,-440
1163,6♦4♣5♣2♣A♦,h_bot,showdown,570,3♠T♥,6♠7♦,T3o,76o,fold,call,990,-1000
1164,2♦J♠Q♦J♥5♣,h_bot,showdown,560,8♠8♥,3♦5♦,88,53s,fold,raise,990,-1000
1165,4♠Q♦A♠4♥7♣,h_bot,showdown,10,4♣3♠,T♥8♥,43o,T8s,fold,call,990,-1000
1166,6♥K♣9♠K♠4♣,cfr_bot,showdown,0,8♠7♦,Q♦A♦,87o,AQs,fold,call,990,-1000
1167,5♠6♦8♠9♠A♦,h_bot,showdown,10,J♣9♥,3♦T♠,J9o,T3o,fold,call,990,-1000
