HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
7017,4♠J♠A♦4♦5♥,h_bot,showdown,50,7♥Q♣,9♦3♠,Q7o,93o,fold,call,-950,933
7018,4♣5♥2♠7♣Q♥,r_bot,showdown,120,8♠J♦,7♦9♠,J8o,97o,fold,raise,-995,978
7019,9♠Q♦J♥A♣Q♣,h_bot|r_bot,split,80,A♠6♥,A♦3♣,A6o,A3o,fold,call,-960,943
7020,A♠A♦T♠9♥7♠,h_bot,showdown,145,8♦T♣,5♣4♦,T8o,54o,fold,raise,-855,838
7021,A♣8♦Q♣6♦Q♥,r_bot,showdown,290,9♠5♦,K♦J♥,95o,KJo,raise,call,-1000,983
7022,Q♣A♠J♣3♠6♣,h_bot,showdown,10,K♦7♠,5♣4♠,K7o,54o,raise,call,-990,973
7023,K♣7♥A♣5♥6♥,h_bot,showdown,20,2♣Q♣,T♠8♣,Q2s,T8o,raise,call,-980,963
7024,T♥3♦2♦7♣7♥,h_bot,showdown,20,2♠Q♥,8♥5♦,Q2o,85o,fold,call,-970,953
7025,9♣Q♦4♥4♠J♠,h_bot,showdown,60,K♦T♠,T♦5♠,KTo,T5o,raise,call,-940,923
7026,6♠2♠A♦7♠J♥,h_bot,showdown,70,K♠4♥,4♦8♣,K4o,84o,raise,fold,-930,913
7027,K♦Q♣J♦K♠J♣,h_bot,showdown,140,A♥5♥,4♣8♥,A5s,84o,raise,call,-860,843
7028,8♣6♦5♠J♣3♠,h_bot,showdown,140,7♠9♦,7♦5♥,97o,75o,fold,call,-790,773
7029,T♦J♥6♣4♦7♦,h_bot,showdown,80,2♦J♣,5♥T♥,J2o,T5s,fold,call,-720,703
7030,J♠7♠K♦3♥3♣,h_bot,showdown,80,T♠J♥,T♦A♣,JTo,ATo,fold,fold,-710,693
7031,K♥8♠J♦T♦3♥,h_bot,showdown,80,7♣8♦,5♠5♥,87o,55,fold,call,-640,623
7032,7♦9♦Q♦J♣Q♣,h_bot|r_bot,split,140,6♦4♣,6♥4♥,64o,64s,fold,call,-640,623
7033,4♦6♦8♣9♣A♠,h_bot,showdown,80,Q♦A♦,2♥9♦,AQs,92o,fold,call,-570,553
7034,7♣J♣2♥K♥4♦,h_bot,showdown,80,5♥J♦,5♣8♣,J5o,85s,fold,fold,-560,543
7035,K♦9♠7♦9♦6♠,h_bot,showdown,120,7♣2♥,J♥8♠,72o,J8o,fold,raise,-450,433
7036,A♥Q♠7♥8♥J♥,h_bot,showdown,220,T♦2♦,6♦9♦,T2s,96s,fold,call,-340,323
7037,4♠J♦7♥J♠9♣,h_bot,showdown,120,5♣5♦,Q♥A♠,55,AQo,fold,call,-230,213
7038,3♦A♣A♥6♦A♠,h_bot,showdown,320,K♣7♥,5♦Q♥,K7o,Q5o,raise,call,-70,53
7039,Q♥6♣5♥J♦6♠,r_bot,showdown,170,7♣8♦,A♣K♦,87o,AKo,fold,call,-80,63
7040,4♦J♦7♣T♥7♠,r_bot,showdown,320,5♥4♠,9♦9♣,54o,99,fold,call,-240,223
7041,7♥6♦A♣8♥K♣,h_bot,showdown,420,Q♣A♠,5♠T♥,AQo,T5o,raise,call,-30,13
7042,6♣5♣9♦T♥9♣,r_bot,showdown,420,J♥4♣,K♣T♣,J4o,KTs,fold,call,-240,223
7043,K♣8♠A♣9♣7♣,h_bot,showdown,220,4♥4♣,2♥8♦,44,82o,fold,call,-30,13
7044,6♠3♣9♦Q♣9♠,r_bot,showdown,520,8♣5♣,7♠T♥,85s,T7o,raise,call,-290,273
7045,T♦A♠8♠5♣5♠,r_bot,showdown,270,K♠J♥,6♣6♥,KJo,66,fold,call,-300,283
7046,J♦2♠7♥T♠5♦,r_bot,showdown,620,9♥9♣,J♣Q♦,99,QJo,raise,call,-610,593
7047,A♣7♣2♥J♣4♥,h_bot,showdown,320,5♦3♠,6♦9♥,53o,96o,fold,call,-300,283
7048,6♠Q♠J♣9♠2♠,r_bot,showdown,320,2♣8♣,A♥J♦,82s,AJo,fold,fold,-610,593
7049,A♠2♣3♥3♣5♥,r_bot,showdown,320,8♦9♠,K♣Q♥,98o,KQo,fold,call,-620,603
7050,8♣8♠3♦4♥9♣,h_bot,showdown,320,8♦2♦,J♣6♣,82s,J6s,fold,fold,-610,593
7051,2♣J♦Q♣2♠8♥,h_bot,showdown,320,6♥Q♦,3♥T♠,Q6o,T3o,fold,call,-300,283
7052,6♦2♥K♥8♠4♥,r_bot,showdown,650,9♣7♠,T♣A♠,97o,ATo,fold,raise,-610,593
7053,6♣2♦7♦K♥5♦,r_bot,showdown,350,7♣Q♠,8♦8♥,Q7o,88,fold,call,-620,603
7054,4♣6♠Q♦K♣K♥,h_bot,showdown,760,K♦T♠,A♥8♣,KTo,A8o,raise,call,-240,223
7055,7♥6♣6♠T♥Q♣,r_bot,showdown,390,3♣J♠,7♣2♠,J3o,72o,fold,call,-250,233
7056,9♦J♥T♣4♥8♥,h_bot,showdown,790,5♦6♠,5♠3♦,65o,53o,fold,raise,160,-177
7057,4♣J♦J♥8♣4♥,r_bot,showdown,420,3♣Q♠,K♠J♣,Q3o,KJo,fold,call,150,-167
7058,3♣6♣5♠7♦3♠,h_bot,showdown,820,8♠9♦,K♣9♠,98o,K9o,fold,call,560,-577
7059,T♣T♠3♣9♥2♥,h_bot,showdown,420,K♦J♠,5♥8♦,KJo,85o,fold,call,970,-987
7060,2♥Q♦4♥5♠7♠,r_bot,showdown,473,5♥A♥,T♣T♦,A5s,TT,raise,call,510,-527
7061,K♣A♠J♥K♠Q♥,r_bot,showdown,470,9♠J♣,T♣8♠,J9o,T8o,fold,call,500,-517
7062,3♥6♥A♣8♣K♠,r_bot,showdown,920,4♥5♣,Q♥8♥,54o,Q8s,fold,call,40,-57
7063,J♥6♦Q♥4♣Q♠,r_bot,showdown,470,3♥6♣,Q♣T♦,63o,QTo,fold,call,30,-47
7064,J♣6♠8♠K♣3♣,h_bot,showdown,920,4♣6♣,5♠3♥,64s,53o,fold,call,490,-507
7065,Q♣7♠J♦2♥8♦,r_bot,showdown,470,6♣9♣,T♣T♦,96s,TT,fold,call,480,-497
7066,A♥8♥2♣4♠9♣,r_bot,showdown,1013,5♠2♦,4♥K♥,52o,K4s,raise,call,-30,13
7067,A♣A♥3♥9♥2♥,h_bot,showdown,520,9♠7♦,K♣5♠,97o,K5o,fold,call,480,-497
7068,7♠9♠8♦A♣Q♠,h_bot,showdown,1013,3♣Q♣,6♣8♣,Q3s,86s,fold,call,983,-1000
7069,7♠5♥7♦5♦5♣,r_bot,showdown,560,T♥A♥,7♣A♠,ATs,A7o,raise,fold,423,-440
7070,5♦Q♠9♠A♠4♣,r_bot,showdown,570,T♦6♥,K♥4♥,T6o,K4s,fold,fold,-137,120
7071,8♣3♦A♥6♠J♣,h_bot,showdown,570,A♠7♣,K♠9♣,A7o,K9o,fold,call,423,-440
7072,2♠7♦2♣K♠6♣,r_bot,showdown,1120,6♠Q♣,2♦3♣,Q6o,32o,fold,call,-137,120
7073,4♠6♥2♣8♣Q♠,h_bot,showdown,570,7♣6♦,7♦4♣,76o,74o,fold,call,423,-440
7074,5♦Q♦Q♥5♥6♣,h_bot|r_bot,split,1120,7♦A♦,A♥3♣,A7s,A3o,fold,call,423,-440
7075,2♥K♦J♠5♥Q♥,h_bot,showdown,1170,A♣K♣,7♣5♣,AKs,75s,raise,call,983,-1000
7076,2♦8♦9♣3♥K♦,h_bot,showdown,610,6♦J♦,9♦5♦,J6s,95s,fold,call,983,-1000
7077,A♥J♠K♥2♦A♣,h_bot,showdown,10,4♣2♠,Q♥4♥,42o,Q4s,fold,call,983,-1000
7078,J♣K♠Q♥K♦3♠,r_bot,showdown,610,5♣A♠,6♦6♣,A5o,66,fold,call,373,-390
7079,K♦3♠2♦A♦2♣,h_bot,showdown,620,2♠K♥,4♥K♣,K2o,K4o,fold,call,983,-1000
7080,5♠3♣4♦5♥2♥,h_bot,showdown,610,3♠Q♥,7♠Q♦,Q3o,Q7o,fold,raise,983,-1000
7081,5♦9♣Q♥K♠Q♠,r_bot,showdown,10,J♣4♣,9♦A♦,J4s,A9s,fold,call,973,-990
7082,J♠5♣5♦K♠7♥,h_bot,showdown,10,5♥7♦,A♣3♣,75o,A3s,fold,call,983,-1000
7083,T♥4♥Q♣3♣7♠,r_bot,showdown,10,A♦9♠,Q♠5♥,A9o,Q5o,fold,call,973,-990
7084,A♠Q♣3♦3♣2♣,r_bot,showdown,10,7♣7♥,A♦K♣,77,AKo,fold,call,973,-990
7085,A♦8♦3♣9♣2♠,h_bot,showdown,10,2♣A♣,7♥6♥,A2s,76s,fold,call,973,-990
7086,4♣A♠K♦5♥Q♣,r_bot,showdown,10,8♣6♦,T♥3♠,86o,T3o,fold,call,973,-990
7087,3♣2♣7♥Q♥Q♣,h_bot,showdown,10,J♣6♣,7♦4♥,J6s,74o,fold,call,973,-990
7088,2♥A♦9♠J♣4♠,h_bot,showdown,10,A♠T♣,K♦8♣,ATo,K8o,fold,call,983,-1000
7089,K♠J♦5♠J♥A♣,r_bot,showdown,10,2♣T♥,Q♠7♣,T2o,Q7o,fold,call,973,-990
